0,0,0
1,2,10711
1,3,11148
1,4,10849
1,5,10280
1,6,12308
1,7,16583
1,8,12578
1,9,15243
1,10,15281
1,11,13477
1,12,16200
1,13,17358
1,14,15215
1,15,11856
1,16,12331
1,17,13335
1,18,13703
1,19,14131
1,20,15678
1,21,16101
1,22,15264
1,23,15653
1,24,18908
1,25,18502
1,26,19675
1,27,22487
1,28,22653
1,29,19442
1,30,15772
1,31,16157
1,32,16398
1,33,17279
1,34,15754
1,35,16223
1,36,17721
1,37,20139
1,38,19492
1,39,18268
1,40,18928
1,41,19770
1,42,25723
1,43,27037
1,44,30050
1,45,33416
1,46,31737
1,47,30815
1,48,28725
1,49,33385
1,50,40674
1,51,40104
1,52,38915
1,53,34616
1,54,32616
1,55,33396
1,56,38709
1,57,45157
1,58,44317
1,59,43600
1,60,46514
0,0,0
2,4,20131
2,5,16499
2,6,16221
2,7,21172
2,8,30814
2,9,27615
2,10,33047
2,11,17703
2,12,20065
2,13,18606
2,14,21189
2,15,18465
2,16,16688
2,17,10638
2,18,12512
2,19,12184
2,20,13754
2,21,16747
2,22,19096
2,23,22691
2,24,27954
2,25,27935
2,26,28493
2,27,29240
2,28,28637
2,29,27273
2,30,31110
2,31,24335
2,32,24209
2,33,24682
2,34,24315
2,35,23987
2,36,24672
2,37,23457
2,38,27447
2,39,30819
2,40,28309
2,41,32584
2,42,31145
2,43,37812
2,44,35760
2,45,37068
2,46,36227
2,47,32414
2,48,31602
2,49,32527
2,50,32684
2,51,31237
2,52,33052
2,53,36978
2,54,31422
2,55,30827
2,56,31319
2,57,28200
2,58,27546
2,59,26248
2,60,26213
2,61,25051
2,62,26869
2,63,26040
2,64,25386
2,65,27870
2,66,27879
2,67,27261
2,68,26764
2,69,28001
2,70,28385
2,71,28008
2,72,25091
2,73,25127
2,74,25230
2,75,23680
2,76,24080
2,77,26433
2,78,27035
2,79,30955
2,80,30231
2,81,30974
2,82,28867
2,83,30027
2,84,30634
2,85,33379
2,86,34587
2,87,35283
2,88,35876
2,89,37061
2,90,36662
2,91,37589
2,92,33986
2,93,30254
2,94,30007
2,95,27623
2,96,33868
2,97,31344
2,98,32328
2,99,30970
2,100,32281
2,101,33043
2,102,33445
2,103,32635
2,104,31002
2,105,32286
2,106,33476
2,107,35038
2,108,36501
2,109,37470
2,110,39796
2,111,35479
2,112,36278
2,113,35188
2,114,32951
2,115,33679
2,116,34448
2,117,30893
2,118,29958
2,119,35254
0,0,0
3,6,21241
3,7,18604
3,8,25616
3,9,34484
3,10,24635
3,11,21546
3,12,21127
3,13,21014
3,14,16345
3,15,11430
3,16,14834
3,17,17951
3,18,16408
3,19,19369
3,20,21730
3,21,27618
3,22,25265
3,23,28339
3,24,25483
3,25,26116
3,26,23137
3,27,21553
3,28,20872
3,29,27840
3,30,29550
3,31,35607
3,32,33004
3,33,25080
3,34,24839
3,35,25426
3,36,26595
3,37,28758
3,38,36876
3,39,35701
3,40,40359
3,41,38647
3,42,38772
3,43,34047
3,44,36085
3,45,35589
3,46,34479
3,47,37009
3,48,36190
3,49,40675
3,50,35814
3,51,35127
3,52,36758
3,53,35080
3,54,32736
3,55,32645
3,56,29162
3,57,26958
3,58,25639
3,59,27423
3,60,26664
3,61,28084
